Gas, Temperature (K), Percentage Error
He, 100, -1.97
He, 125, -2.05
He, 150, -2.11
He, 175, -2.14
He, 200, -2.17
He, 225, -2.19
He, 250, -2.21
He, 275, -2.23
He, 300, -2.24
He, 325, -2.25
He, 350, -2.26
He, 375, -2.26
He, 400, -2.27
He, 425, -2.28
He, 450, -2.28
He, 475, -2.29
He, 500, -2.29
H2, 100, 0.24
H2, 125, -0.354
H2, 150, -0.746
H2, 175, -1.02
H2, 200, -1.23
H2, 225, -1.39
H2, 250, -1.52
H2, 275, -1.63
H2, 300, -1.71
H2, 325, -1.79
H2, 350, -1.85
H2, 375, -1.9
H2, 400, -1.95
H2, 425, -1.99
H2, 450, -2.03
H2, 475, -2.06
H2, 500, -2.09
O2, 100, 15.3
O2, 125, 11.1
O2, 150, 8.41
O2, 175, 6.59
O2, 200, 5.26
O2, 225, 4.25
O2, 250, 3.46
O2, 275, 2.82
O2, 300, 2.29
O2, 325, 1.85
O2, 350, 1.47
O2, 375, 1.15
O2, 400, 0.864
O2, 425, 0.617
O2, 450, 0.398
O2, 475, 0.203
O2, 500, 0.0286
CO2, 100, 58.3
CO2, 125, 40
CO2, 150, 30
CO2, 175, 23.7
CO2, 200, 19.3
CO2, 225, 16.1
CO2, 250, 13.7
CO2, 275, 11.8
CO2, 300, 10.3
CO2, 325, 8.99
CO2, 350, 7.92
CO2, 375, 7.01
CO2, 400, 6.23
CO2, 425, 5.55
CO2, 450, 4.95
CO2, 475, 4.42
CO2, 500, 3.95
H2O, 100, 173
H2O, 125, 100
H2O, 150, 70
H2O, 175, 53.5
H2O, 200, 43.1
H2O, 225, 35.9
H2O, 250, 30.6
H2O, 275, 26.6
H2O, 300, 23.5
H2O, 325, 20.9
H2O, 350, 18.8
H2O, 375, 17.1
H2O, 400, 15.6
H2O, 425, 14.3
H2O, 450, 13.2
H2O, 475, 12.2
H2O, 500, 11.3
